practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A87011,22.8012600002636,0.6132947976878613,0.38670520231213873,627.7331857182397,0.013878390862517846,0.6002141597379692,0.1840723943898547,0.4419039220626522,0.15650457713949778,0.07140757537582934,0.32974300831443687,3.474700132680626,91.90604069947264,727.6106124708394,60.1342636745407,185.08861072001366
A87012,13.306141553274715,0.5628140703517588,0.4371859296482412,326.49081163005803,0.0808615216575076,0.8853807557087756,0.09762091681742158,0.34447213025224427,0.19967914803563505,0.17561525070826364,0.2801310714407618,2.219808233346378,51.42843633295652,1131.8132682513678,82.32662172904325,269.80402982199985
A87013,23.135581112936638,0.3307603241991509,0.6692396758008491,548.3784556039717,0.05047708991435178,0.7406617383658449,0.1773862637183704,0.4815840036473768,0.21685609144494739,0.1249552219363663,0.17601849741101377,4.733626685381784,78.59702879358329,863.1062933066647,72.54090875600531,193.24434977454746
A87029,36.52782489999132,0.5311588724484285,0.4688411275515714,627.5929271968376,0.03165054280523758,0.7974742426814013,0.15305410451279536,0.43179889490259676,0.26651831456930747,0.09548594741043871,0.20605854878961033,7.4691598548538165,77.41561183448617,841.1814832056431,62.93162828937338,157.57800352034303
A87030,20.240925451237167,0.5570866141732284,0.44291338582677164,485.95486964259624,0.055754461723468804,0.5902047063325043,0.36595698160649376,0.45521878160102763,0.17218289649894777,0.14187324059143458,0.23069775069009812,3.1199891207430683,70.99868404004242,884.4381283784682,69.64717778664985,202.4621564658612
A87615,30.1950062685981,0.4672336168084042,0.5327663831915957,559.445946558313,0.04185004185004185,0.4984204984204984,0.2995652995652996,0.44523044523044525,0.22410022410022412,0.1367011367011367,0.19053919053919055,4.060476270409907,88.45137805071644,853.6471156896213,54.00355577324354,235.6902689270663
A88001,148.8292404340377,0.671527244819647,0.328472755180353,507.4357509994289,0.03367397469950029,0.8570656822581372,0.13573132850132805,0.512942871291586,0.3413766713185972,0.08382478728672399,0.06163057668932607,26.597340405774773,64.60792439935507,547.5042832667048,60.07301737331787,221.5800485819617
A88006,13.127206590349845,0.658516707416463,0.3414832925835371,478.3887878463678,0.05917477356591748,0.6097059152409706,0.33612881583361287,0.3402661299340266,0.20697752432069774,0.11515151515151516,0.33758246673375825,2.3951316564119236,73.26787169616605,968.2144003423558,71.21022632407592,207.0919530930572
A88012,158.5249900095082,0.803894297635605,0.19610570236439498,583.2518017335226,0.034990313282615884,0.9185843216935217,0.07784813117232907,0.4784765864952984,0.34319330907716294,0.10964891556017578,0.06787790010868025,23.782450734356335,70.23668290836268,557.3316429880527,50.689603281593556,196.22766379880875
A88013,30.569632030604254,0.789920724801812,0.210079275198188,482.3069166821736,0.0385101973064396,0.7547352648249006,0.21642694996007214,0.5417627477546186,0.24397268754878826,0.09676001112596568,0.11151986074597806,4.001600459345277,40.000835669475684,789.0461703573237,51.907736324469745,186.29392031117027
